[EVENT_TIMING] 9472 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  155 UNKNOWN                  31      13.54      13.01      14.08       0.23
  156 UNKNOWN                  31       9.82       9.51      10.15       0.17
  157 UNKNOWN                  31      12.32      11.73      12.90       0.33
  158 UNKNOWN                  31      15.08      14.45      15.40       0.22
  159 UNKNOWN                  31       7.19       6.85       7.80       0.22
  160 UNKNOWN                  31      16.46      14.93      18.07       0.98
  161 UNKNOWN                  31      42.04      39.08      46.53       1.78
  162 UNKNOWN                  31      23.35      21.82      24.75       1.01
  163 UNKNOWN                  31       4.94       4.28       7.45       0.57
  164 UNKNOWN                  31      13.59      13.27      14.19       0.23
  165 UNKNOWN                  31       9.60       9.14      10.54       0.28
  166 UNKNOWN                  31      12.27      11.29      13.45       0.55
  167 UNKNOWN                  31      15.00      14.49      15.52       0.27
  168 UNKNOWN                  31       8.06       7.48       8.55       0.24
  169 UNKNOWN                  31      16.77      15.18      17.88       0.98
  170 UNKNOWN                  31      41.70      39.10      43.96       1.25
  171 UNKNOWN                  31      23.36      21.88      25.92       1.05
  172 UNKNOWN                  31       4.86       4.24       6.11       0.47
  173 UNKNOWN                  31      13.39      12.99      13.89       0.22
  174 UNKNOWN                  31       9.74       9.44      10.24       0.17
  175 UNKNOWN                  31      12.34      11.53      12.88       0.31
  176 UNKNOWN                  31      14.80      14.17      15.50       0.35
  177 UNKNOWN                  31       7.96       7.39       8.39       0.28
  178 UNKNOWN                  31      16.29      15.04      17.68       0.89
  179 UNKNOWN                  31      41.96      38.84      45.72       1.60
  180 UNKNOWN                  31      23.17      21.68      25.92       1.18
  181 UNKNOWN                  31       5.05       4.21       6.53       0.60
  182 UNKNOWN                  31      13.61      13.09      14.25       0.26
  183 UNKNOWN                  31       9.64       9.41      10.02       0.15
  184 UNKNOWN                  31      12.53      11.73      13.42       0.41
  185 UNKNOWN                  31      14.88      14.34      15.58       0.29
  186 UNKNOWN                  31       7.86       7.21       8.46       0.31
  187 UNKNOWN                  31      15.89      14.72      17.40       0.88
  188 UNKNOWN                  31      42.07      39.04      44.80       1.49
  189 UNKNOWN                  31      23.03      21.36      24.53       1.05
  190 UNKNOWN                  31       5.18       4.30       9.68       1.18
  191 UNKNOWN                  31      13.49      13.03      13.95       0.21
  192 UNKNOWN                  31       9.67       9.39       9.96       0.15
  193 UNKNOWN                  31      12.41      11.41      12.94       0.31
  194 UNKNOWN                  31      15.16      14.68      15.81       0.29
  195 UNKNOWN                  31       7.84       7.17       8.52       0.35
  196 UNKNOWN                  31      16.48      15.11      17.85       0.81
  197 UNKNOWN                  31      41.43      38.99      43.97       1.41
  198 UNKNOWN                  31      23.17      21.83      25.96       1.14
  199 UNKNOWN                  31       4.83       4.24       6.26       0.46
  200 UNKNOWN                  31      13.62      13.18      14.02       0.19
  201 UNKNOWN                  31       9.61       9.18      10.02       0.21
  202 UNKNOWN                  31      12.35      11.50      13.49       0.53
  203 UNKNOWN                  31      15.06      14.55      15.59       0.25
  204 UNKNOWN                  31       7.81       7.28       8.48       0.31
  205 UNKNOWN                  31      16.64      15.16      18.08       0.76
  206 UNKNOWN                  31      43.39      40.06      46.09       1.69
  207 UNKNOWN                  31      23.28      21.60      25.36       1.11
  208 UNKNOWN                  31       4.70       4.22       5.76       0.36
  209 UNKNOWN                  31      13.63      13.14      14.07       0.25
  210 UNKNOWN                  31       9.70       9.31      10.03       0.18
  211 UNKNOWN                  31      12.52      11.96      13.21       0.34
  212 UNKNOWN                  31      15.07      14.63      15.51       0.21
  213 UNKNOWN                  31       8.03       7.54       8.45       0.24
  214 UNKNOWN                  31      16.49      15.28      18.34       1.00
  215 UNKNOWN                  31      41.87      38.93      45.55       1.56
  216 UNKNOWN                  31      22.87      21.49      25.14       1.15
  217 UNKNOWN                  31       4.85       4.30       6.21       0.55
  218 UNKNOWN                  31      13.70      13.23      14.17       0.26
  219 UNKNOWN                  31       9.76       9.38      10.01       0.15
  220 UNKNOWN                  31      12.53      11.80      13.21       0.38
  221 UNKNOWN                  31      14.99      14.64      15.49       0.24
  222 UNKNOWN                  31       7.86       7.26       8.29       0.26
  223 UNKNOWN                  31      16.81      14.97      17.84       0.99
  224 UNKNOWN                  31      40.74      38.67      43.60       1.43
  225 UNKNOWN                  31      23.23      21.80      25.03       1.14
  226 UNKNOWN                  31       4.75       4.17       5.73       0.42
  227 UNKNOWN                  31      13.70      13.41      14.16       0.19
  228 UNKNOWN                  31       9.62       9.30      10.06       0.19
  229 UNKNOWN                  31      12.13      11.25      12.89       0.45
  230 UNKNOWN                  31      15.20      14.87      15.64       0.21
  231 UNKNOWN                  31       7.95       7.25       8.57       0.27
  232 UNKNOWN                  31      16.08      14.60      17.64       1.00
  233 UNKNOWN                  31      41.63      38.72      43.71       1.29
  234 UNKNOWN                  31      23.39      21.40      25.17       1.14
  235 UNKNOWN                  31       4.59       4.06       5.15       0.22
  236 UNKNOWN                  31      13.50      12.77      13.80       0.22
  237 UNKNOWN                  31       9.52       9.34       9.69       0.09
  238 UNKNOWN                  31      12.06      11.46      12.62       0.33
  239 UNKNOWN                  31      15.03      14.53      15.36       0.19
  240 UNKNOWN                  31       7.85       7.40       8.50       0.28
  241 UNKNOWN                  31      16.82      14.87      17.95       0.95
  242 UNKNOWN                  31      41.20      38.59      43.47       1.12
  243 UNKNOWN                  31      22.64      21.60      24.43       0.92
  244 UNKNOWN                  31       5.64       4.29       6.91       1.00
  245 UNKNOWN                  27       0.21       0.01       1.19       0.27
  246 UNKNOWN                  28       5.64       0.01      76.72      19.70
  247 UNKNOWN                  28      13.60       0.01      76.29      28.84
  248 UNKNOWN                  28      11.15       0.02      76.71      26.49
  249 UNKNOWN                  27       0.30       0.02       0.92       0.27
  250 UNKNOWN                  28       0.28       0.03       0.65       0.22
  251 UNKNOWN                  29       5.29       0.01      76.13      18.94
  252 UNKNOWN                  27       5.73       0.01      75.57      19.22
  253 UNKNOWN                  27       0.28       0.01       0.86       0.24
  254 UNKNOWN                  27       3.07       0.01      76.88      14.48
  255 UNKNOWN                  27       3.03       0.04      76.93      14.49
  256 UNKNOWN                  29       5.34       0.02      73.37      18.51
  257 UNKNOWN                  25       0.16       0.01       0.88       0.20
  258 UNKNOWN                  27       0.21       0.01       0.76       0.19
  259 UNKNOWN                  29       2.93       0.01      77.02      14.01
  260 UNKNOWN                  25       8.98       0.01      74.78      23.64
  261 UNKNOWN                  28       0.28       0.03       0.99       0.24
  262 UNKNOWN                  29       2.73       0.02      74.20      13.51
  263 UNKNOWN                  28       0.21       0.03       0.90       0.20
  264 UNKNOWN                  27       0.18       0.01       0.84       0.23
  265 UNKNOWN                  24       3.35       0.01      76.86      15.33
  266 UNKNOWN                  29       0.22       0.01       1.00       0.24
  267 UNKNOWN                  29       0.25       0.01       1.26       0.32
  268 UNKNOWN                  27       5.83       0.01      76.71      19.84
  269 UNKNOWN                  26       0.24       0.01       1.24       0.27
  270 UNKNOWN                  28       2.83       0.01      74.46      13.79
  271 UNKNOWN                  28       2.88       0.01      74.02      13.69
  272 UNKNOWN                  28       2.86       0.01      73.03      13.51
  273 UNKNOWN                  30       0.20       0.02       1.00       0.21
  274 UNKNOWN                  28       2.95       0.02      74.17      13.71
  275 UNKNOWN                  27       0.20       0.02       0.88       0.20
  276 UNKNOWN                  26       0.19       0.03       0.61       0.17
  277 UNKNOWN                  31       0.61       0.04       2.58       0.56
  278 UNKNOWN                  27       0.64       0.01       2.46       0.60
  279 UNKNOWN                  28       0.48       0.05       2.10       0.48
  280 UNKNOWN                  31       0.68       0.02       2.46       0.59
  281 UNKNOWN                  31       0.39       0.02       1.70       0.35
  282 UNKNOWN                  28       0.41       0.01       1.68       0.41
  283 UNKNOWN                  30       2.99       0.04      28.05       8.11
  284 UNKNOWN                  29       7.81       0.01      29.07      12.22
  285 UNKNOWN                  28       4.29       0.01      29.44       9.83
  286 UNKNOWN                  26       1.45       0.01      27.56       5.25
  287 UNKNOWN                  30       1.41       0.01      28.92       5.12
  288 UNKNOWN                  27       2.53       0.02      29.52       7.42
  289 UNKNOWN                  28       2.22       0.03      27.28       6.89
  290 UNKNOWN                  29       0.34       0.01       1.45       0.36
  291 UNKNOWN                  27       1.53       0.04      28.80       5.38
  292 UNKNOWN                  31       2.97       0.01      28.11       8.09
  293 UNKNOWN                  30       5.82       0.01      29.38      11.14
  294 UNKNOWN                  31       0.36       0.01       1.42       0.34
  295 UNKNOWN                  31       5.27       4.91       5.59       0.19
  296 UNKNOWN                  31       4.93       4.77       5.14       0.10

================================================================================
PER-TYPE SUMMARY (sum of avg durations across all events)
================================================================================
TaskType             Events    Total(us)  Total(ms)        %
----------------------------------------------------------
UNKNOWN                 296       4306.1      4.306   100.0%
TOTAL                             4306.1      4.306

Saved raw event timing to event_timing.json
