[EVENT_TIMING] 9472 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  219 UNKNOWN                  31     149.95     146.51     153.24       1.67
  220 UNKNOWN                  31      11.82      11.41      12.17       0.17
  221 UNKNOWN                  31      23.91      22.96      26.36       1.03
  222 UNKNOWN                  31      13.06      12.34      14.51       0.50
  223 UNKNOWN                  31      25.55      24.89      26.97       0.51
  224 UNKNOWN                  31      41.70      39.51      43.75       1.07
  225 UNKNOWN                  31      23.86      22.04      25.80       1.09
  226 UNKNOWN                  31       5.13       4.24       5.47       0.21
  227 UNKNOWN                  31      18.16      17.82      19.00       0.25
  228 UNKNOWN                  31     150.35     147.16     153.53       1.74
  229 UNKNOWN                  31      11.66      11.39      11.99       0.17
  230 UNKNOWN                  31      23.68      22.50      25.13       0.59
  231 UNKNOWN                  31      12.79      12.19      13.64       0.33
  232 UNKNOWN                  31      26.51      25.00      27.97       1.05
  233 UNKNOWN                  31      40.92      38.14      43.36       1.53
  234 UNKNOWN                  31      23.82      21.80      26.48       1.24
  235 UNKNOWN                  31       5.10       4.10       5.59       0.36
  236 UNKNOWN                  31      18.40      17.88      19.33       0.42
  237 UNKNOWN                  31     149.48     146.02     152.28       1.59
  238 UNKNOWN                  31      11.73      11.34      11.96       0.15
  239 UNKNOWN                  31      24.24      22.82      26.04       1.10
  240 UNKNOWN                  31      12.89      12.20      13.56       0.38
  241 UNKNOWN                  31      26.46      26.22      26.70       0.14
  242 UNKNOWN                  31      41.97      40.32      43.96       1.12
  243 UNKNOWN                  31      23.27      21.59      24.68       1.03
  244 UNKNOWN                  31       5.22       4.21       7.12       1.01
  245 UNKNOWN                  29       0.24       0.02       0.96       0.23
  246 UNKNOWN                  25       0.35       0.02       1.76       0.39
  247 UNKNOWN                  28       0.39       0.01       1.74       0.39
  248 UNKNOWN                  29       0.51       0.03       3.52       0.74
  249 UNKNOWN                  31      37.38       0.01      90.02      42.90
  250 UNKNOWN                  30       3.20       0.01      85.05      15.21
  251 UNKNOWN                  30       0.27       0.01       0.77       0.22
  252 UNKNOWN                  27       0.20       0.01       1.62       0.30
  253 UNKNOWN                  30       0.14       0.01       0.50       0.13
  254 UNKNOWN                  29       3.59       0.01      92.79      16.87
  255 UNKNOWN                  28       0.33       0.01       3.17       0.60
  256 UNKNOWN                  30       0.25       0.01       1.03       0.24
  257 UNKNOWN                  30       9.20       0.01      90.60      26.19
  258 UNKNOWN                  29       0.48       0.02       3.96       0.80
  259 UNKNOWN                  26       0.27       0.01       2.46       0.46
  260 UNKNOWN                  26       0.17       0.01       0.97       0.21
  261 UNKNOWN                  29       0.15       0.01       0.63       0.15
  262 UNKNOWN                  30       0.24       0.02       1.08       0.25
