[EVENT_TIMING] 10336 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  154 UNKNOWN                  31      23.16      21.32      25.22       1.14
  155 UNKNOWN                  31       4.32       3.62       6.09       0.60
  156 UNKNOWN                  31       5.07       4.05       5.43       0.39
  157 UNKNOWN                  31      13.90      12.86      17.64       0.86
  158 UNKNOWN                  31     210.80     205.92     213.22       1.81
  159 UNKNOWN                  31      51.65      51.41      52.14       0.14
  160 UNKNOWN                  31      35.32      34.69      35.88       0.28
  161 UNKNOWN                  31      13.80      13.52      14.16       0.14
  162 UNKNOWN                  31       3.68       3.44       5.59       0.36
  163 UNKNOWN                  31      24.09      23.53      25.89       0.49
  164 UNKNOWN                  31      44.43      43.10      46.29       0.82
  165 UNKNOWN                  31       5.73       3.84       6.43       0.92
  166 UNKNOWN                  31      22.51      21.47      24.48       0.92
  167 UNKNOWN                  31       3.97       3.57       5.95       0.41
  168 UNKNOWN                  31       4.37       3.55       4.94       0.44
  169 UNKNOWN                  31      14.05      13.14      15.08       0.52
  170 UNKNOWN                  31     210.14     207.40     213.37       1.63
  171 UNKNOWN                  31      51.63      51.37      51.89       0.13
  172 UNKNOWN                  31      35.56      35.09      36.01       0.24
  173 UNKNOWN                  31      16.14      13.76      17.44       1.19
  174 UNKNOWN                  31       3.93       3.76       4.07       0.08
  175 UNKNOWN                  31      25.62      24.08      27.16       0.92
  176 UNKNOWN                  31      41.31      39.68      45.20       1.27
  177 UNKNOWN                  31       5.21       3.58       8.60       1.21
  178 UNKNOWN                  31      22.83      21.28      24.54       1.12
  179 UNKNOWN                  31       4.29       3.67       7.55       0.66
  180 UNKNOWN                  31       4.96       3.76       5.16       0.23
  181 UNKNOWN                  31      13.81      13.24      14.40       0.36
  182 UNKNOWN                  31     211.03     206.89     213.65       1.86
  183 UNKNOWN                  31      51.60      51.14      51.89       0.18
  184 UNKNOWN                  31      35.30      34.68      36.48       0.37
  185 UNKNOWN                  31      14.31      13.56      17.24       0.89
  186 UNKNOWN                  31       3.73       3.48       5.44       0.33
  187 UNKNOWN                  31      24.53      23.85      26.13       0.40
  188 UNKNOWN                  31      43.77      42.13      45.74       0.82
  189 UNKNOWN                  31       5.92       3.73       8.44       0.88
  190 UNKNOWN                  31      22.15      21.36      24.00       0.77
  191 UNKNOWN                  31       4.52       2.95       6.22       1.17
  192 UNKNOWN                  31       4.31       3.52       4.91       0.51
  193 UNKNOWN                  31      14.43      13.03      17.52       1.12
  194 UNKNOWN                  31     210.41     205.12     214.02       2.12
  195 UNKNOWN                  31      51.65      51.17      52.05       0.18
  196 UNKNOWN                  31      35.57      35.25      36.13       0.20
  197 UNKNOWN                  31      13.64      13.40      14.00       0.15
  198 UNKNOWN                  31       3.88       3.71       4.11       0.09
  199 UNKNOWN                  31      25.50      24.08      26.72       0.84
  200 UNKNOWN                  31      41.08      39.43      44.36       1.09
  201 UNKNOWN                  31       5.60       3.69       7.96       1.27
  202 UNKNOWN                  31      22.86      21.44      25.56       1.15
  203 UNKNOWN                  31       4.12       3.65       5.15       0.38
  204 UNKNOWN                  31       4.94       3.92       5.25       0.21
  205 UNKNOWN                  31      13.65      13.00      14.29       0.45
  206 UNKNOWN                  31     210.54     206.01     213.54       1.93
  207 UNKNOWN                  31      51.86      51.46      52.14       0.17
  208 UNKNOWN                  31      37.12      35.25      39.24       0.94
  209 UNKNOWN                  31      13.85      13.36      15.58       0.42
  210 UNKNOWN                  31       3.64       3.45       3.96       0.11
  211 UNKNOWN                  31      24.90      23.77      26.17       0.48
  212 UNKNOWN                  31      41.61      40.56      42.54       0.46
  213 UNKNOWN                  31       5.46       3.74       6.37       1.02
  214 UNKNOWN                  31      22.97      21.52      26.12       1.32
  215 UNKNOWN                  31       4.29       3.61       5.04       0.36
  216 UNKNOWN                  31       4.39       3.63       5.09       0.50
  217 UNKNOWN                  31      14.17      13.14      18.24       0.89
  218 UNKNOWN                  31     210.47     205.94     214.03       1.76
  219 UNKNOWN                  31      51.74      51.41      52.09       0.18
  220 UNKNOWN                  31      35.79      35.17      36.37       0.22
  221 UNKNOWN                  31      13.88      13.48      14.62       0.26
  222 UNKNOWN                  31       3.90       3.75       4.11       0.08
  223 UNKNOWN                  31      25.57      23.64      28.12       1.14
  224 UNKNOWN                  31      41.00      39.04      42.99       1.02
  225 UNKNOWN                  31       5.12       3.68       7.06       1.14
  226 UNKNOWN                  31      23.10      21.28      24.77       1.09
  227 UNKNOWN                  31       4.09       3.63       5.20       0.44
  228 UNKNOWN                  31       5.02       4.84       5.31       0.10
  229 UNKNOWN                  31      13.78      13.27      14.40       0.33
  230 UNKNOWN                  31     210.79     206.95     214.70       1.93
  231 UNKNOWN                  31      51.79      51.50      52.06       0.13
  232 UNKNOWN                  31      35.55      34.97      36.20       0.34
  233 UNKNOWN                  31      13.85      13.56      16.21       0.45
  234 UNKNOWN                  31       3.65       3.40       5.47       0.35
  235 UNKNOWN                  31      26.04      23.85      27.45       0.87
  236 UNKNOWN                  31      41.40      39.49      44.60       1.19
  237 UNKNOWN                  31       5.86       3.87      10.08       1.15
  238 UNKNOWN                  31      22.24      20.99      24.17       0.98
