[EVENT_TIMING] 9472 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  142 UNKNOWN                  31      16.50      15.35      18.04       0.82
  143 UNKNOWN                  31      42.38      38.86      44.34       1.42
  144 UNKNOWN                  31      25.17      21.55      28.99       1.99
  145 UNKNOWN                  31       4.79       4.20       6.76       0.44
  146 UNKNOWN                  31      18.35      14.24      22.23       1.82
  147 UNKNOWN                  31       9.82       9.51      10.27       0.18
  148 UNKNOWN                  31      12.37      11.77      12.88       0.25
  149 UNKNOWN                  31      15.02      14.41      15.64       0.29
  150 UNKNOWN                  31       7.97       7.51       8.55       0.27
  151 UNKNOWN                  31      16.76      15.33      18.14       0.94
  152 UNKNOWN                  31      41.07      38.94      43.78       1.27
  153 UNKNOWN                  31      25.22      21.93      28.25       1.49
  154 UNKNOWN                  31       4.79       3.96       6.76       0.52
  155 UNKNOWN                  31      17.76      14.83      21.91       1.80
  156 UNKNOWN                  31       9.48       9.12       9.84       0.13
  157 UNKNOWN                  31      12.46      11.79      13.04       0.27
  158 UNKNOWN                  31      15.29      14.73      15.75       0.24
  159 UNKNOWN                  31       7.15       6.87       7.91       0.22
  160 UNKNOWN                  31      16.55      15.05      18.00       0.88
  161 UNKNOWN                  31      42.16      39.23      46.23       1.97
  162 UNKNOWN                  31      25.55      21.92      28.41       1.41
  163 UNKNOWN                  31       4.78       4.25       5.68       0.34
  164 UNKNOWN                  31      18.30      16.08      21.28       1.51
  165 UNKNOWN                  31       9.59       9.29      10.57       0.23
  166 UNKNOWN                  31      12.31      11.43      13.00       0.35
  167 UNKNOWN                  31      15.20      14.48      15.61       0.25
  168 UNKNOWN                  31       7.96       7.33       8.88       0.31
  169 UNKNOWN                  31      17.22      15.12      18.59       0.93
  170 UNKNOWN                  31      41.81      39.37      45.28       1.59
  171 UNKNOWN                  31      25.24      22.51      28.45       1.74
  172 UNKNOWN                  31       4.80       4.20       6.48       0.46
  173 UNKNOWN                  31      17.85      13.23      20.43       1.62
  174 UNKNOWN                  31       9.95       9.40      10.60       0.23
  175 UNKNOWN                  31      12.17      11.63      12.55       0.21
  176 UNKNOWN                  31      15.13      14.57      15.56       0.24
  177 UNKNOWN                  31       7.95       7.32       8.42       0.30
  178 UNKNOWN                  31      16.08      15.20      17.87       0.81
  179 UNKNOWN                  31      42.25      39.76      45.24       1.35
  180 UNKNOWN                  31      25.84      22.12      29.19       2.09
  181 UNKNOWN                  31       4.73       4.17       6.88       0.59
  182 UNKNOWN                  31      18.11      14.28      21.69       1.46
  183 UNKNOWN                  31      10.01       9.71      10.51       0.17
  184 UNKNOWN                  31      12.35      11.33      13.13       0.42
  185 UNKNOWN                  31      15.06      14.73      15.47       0.23
  186 UNKNOWN                  31       7.97       7.45       8.43       0.26
  187 UNKNOWN                  31      16.27      14.90      18.06       0.87
  188 UNKNOWN                  31      42.27      39.20      44.64       1.37
  189 UNKNOWN                  31      24.82      21.91      29.31       1.91
  190 UNKNOWN                  31       4.67       4.02       5.31       0.32
  191 UNKNOWN                  31      18.27      14.08      21.80       1.70
  192 UNKNOWN                  31       9.66       9.36      10.01       0.14
  193 UNKNOWN                  31      12.51      11.80      13.04       0.28
  194 UNKNOWN                  31      15.29      14.63      15.68       0.28
  195 UNKNOWN                  31       7.88       7.20       8.43       0.26
  196 UNKNOWN                  31      16.87      15.05      18.05       0.87
  197 UNKNOWN                  31      40.68      39.19      43.05       1.13
  198 UNKNOWN                  31      25.18      22.29      28.65       1.68
  199 UNKNOWN                  31       4.95       4.39       6.52       0.46
  200 UNKNOWN                  31      18.03      15.28      22.21       1.64
  201 UNKNOWN                  31       9.46       9.21      11.05       0.31
  202 UNKNOWN                  31      12.39      11.70      13.31       0.39
  203 UNKNOWN                  31      15.19      14.59      15.64       0.24
  204 UNKNOWN                  31       7.86       7.33       8.33       0.23
  205 UNKNOWN                  31      16.87      15.27      18.19       0.90
  206 UNKNOWN                  31      43.60      39.90      47.46       1.58
  207 UNKNOWN                  31      25.69      21.42      29.24       2.03
  208 UNKNOWN                  31       4.77       4.07       6.52       0.48
  209 UNKNOWN                  31      18.17      14.40      22.09       1.82
  210 UNKNOWN                  31       9.91       9.48      11.16       0.28
  211 UNKNOWN                  31      12.15      11.33      12.60       0.30
  212 UNKNOWN                  31      15.07      14.48      15.58       0.29
  213 UNKNOWN                  31       7.91       7.37       8.36       0.28
  214 UNKNOWN                  31      16.03      15.06      18.04       0.80
  215 UNKNOWN                  31      42.37      40.92      46.04       1.03
  216 UNKNOWN                  31      25.71      21.44      28.41       1.70
  217 UNKNOWN                  31       4.68       4.19       7.00       0.50
  218 UNKNOWN                  31      18.18      15.24      21.60       1.70
  219 UNKNOWN                  31       9.93       9.63      11.43       0.29
  220 UNKNOWN                  31      12.19      11.21      12.77       0.41
  221 UNKNOWN                  31      14.99      14.45      15.51       0.27
  222 UNKNOWN                  31       7.94       7.45       8.40       0.27
