[EVENT_TIMING] 10496 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  227 UNKNOWN                  31       4.66       4.04       7.79       0.65
  228 UNKNOWN                  31       4.72       3.91       5.19       0.47
  229 UNKNOWN                  31      14.24      13.28      17.68       0.85
  230 UNKNOWN                  31     150.39     148.03     153.03       1.46
  231 UNKNOWN                  31      60.50      59.79      60.87       0.23
  232 UNKNOWN                  31      23.88      22.71      27.28       1.43
  233 UNKNOWN                  31      15.47      13.36      17.60       1.53
  234 UNKNOWN                  31       3.78       3.62       5.28       0.28
  235 UNKNOWN                  31      21.74      21.10      24.42       0.59
  236 UNKNOWN                  31      41.01      39.89      45.01       1.28
  237 UNKNOWN                  31       5.31       3.80       9.51       1.30
  238 UNKNOWN                  31      22.12      20.30      24.91       1.23
  239 UNKNOWN                  31       4.19       3.63       7.01       0.86
  240 UNKNOWN                  31       4.07       3.42       4.71       0.48
  241 UNKNOWN                  31      14.33      13.50      17.44       0.74
  242 UNKNOWN                  31     149.64     146.24     152.54       1.92
  243 UNKNOWN                  31      60.39      60.06      61.24       0.22
  244 UNKNOWN                  31      23.17      22.50      25.05       0.44
  245 UNKNOWN                  31      15.50      13.32      17.68       1.46
  246 UNKNOWN                  31       3.73       3.58       3.86       0.07
  247 UNKNOWN                  31      21.61      20.81      22.97       0.57
  248 UNKNOWN                  31      41.21      38.99      44.55       1.44
  249 UNKNOWN                  31       5.41       3.73       6.64       1.00
  250 UNKNOWN                  31      22.00      20.11      25.56       1.30
  251 UNKNOWN                  31       4.81       4.12       7.00       0.65
  252 UNKNOWN                  31       4.71       3.92       5.28       0.45
  253 UNKNOWN                  31      13.99      12.98      15.00       0.62
  254 UNKNOWN                  31     150.35     147.43     153.46       1.80
  255 UNKNOWN                  31      60.47      59.90      60.71       0.18
  256 UNKNOWN                  31      23.66      22.43      26.00       0.76
  257 UNKNOWN                  31      14.65      13.48      17.44       1.13
  258 UNKNOWN                  31       3.65       3.50       3.88       0.09
  259 UNKNOWN                  31      21.71      20.78      23.58       0.51
  260 UNKNOWN                  31      43.12      39.82      46.98       2.06
  261 UNKNOWN                  31       5.47       3.69       6.48       0.90
  262 UNKNOWN                  31      21.87      20.63      24.36       1.00
  263 UNKNOWN                  31       4.62       4.24       6.03       0.38
  264 UNKNOWN                  31       3.78       3.33       4.58       0.40
  265 UNKNOWN                  31      14.55      13.48      17.24       0.66
  266 UNKNOWN                  31     149.77     146.50     152.47       1.72
  267 UNKNOWN                  31      60.28      59.96      60.73       0.22
  268 UNKNOWN                  31      24.97      22.91      27.80       1.63
  269 UNKNOWN                  31      14.13      13.44      16.38       0.74
  270 UNKNOWN                  31       3.80       3.60       6.00       0.41
  271 UNKNOWN                  31      21.77      21.17      22.73       0.43
  272 UNKNOWN                  31      40.73      39.82      42.09       0.67
  273 UNKNOWN                  31       6.01       3.76       9.26       1.04
  274 UNKNOWN                  31      21.70      20.22      24.12       1.10
  275 UNKNOWN                  31       5.05       4.36       6.88       0.73
  276 UNKNOWN                  31       4.05       3.76       4.68       0.25
  277 UNKNOWN                  31      14.73      13.95      15.28       0.37
  278 UNKNOWN                  31     150.73     147.67     155.55       1.94
  279 UNKNOWN                  31      60.44      60.05      60.89       0.21
  280 UNKNOWN                  31      24.06      23.32      27.60       1.12
  281 UNKNOWN                  31      13.94      13.47      16.19       0.66
  282 UNKNOWN                  31       3.60       3.46       3.82       0.09
  283 UNKNOWN                  31      21.90      21.02      24.78       0.67
  284 UNKNOWN                  31      40.51      38.78      43.38       0.87
  285 UNKNOWN                  31       5.55       3.60       8.70       1.12
  286 UNKNOWN                  31      22.03      20.34      24.72       1.17
  287 UNKNOWN                  31       4.10       3.66       5.71       0.55
  288 UNKNOWN                  31       4.10       3.49       4.71       0.47
  289 UNKNOWN                  31      14.70      13.28      18.00       1.42
  290 UNKNOWN                  31     149.39     146.26     152.63       1.79
  291 UNKNOWN                  31      60.37      59.88      60.82       0.27
  292 UNKNOWN                  31      23.73      23.08      26.54       0.61
  293 UNKNOWN                  31      14.01      13.36      16.07       0.62
  294 UNKNOWN                  31       3.73       3.60       3.84       0.06
  295 UNKNOWN                  31      21.73      20.97      22.61       0.44
  296 UNKNOWN                  31      40.68      39.31      42.87       0.69
  297 UNKNOWN                  31       5.92       3.68       8.15       0.91
  298 UNKNOWN                  31      21.71      20.48      25.05       1.00
  299 UNKNOWN                  31       4.75       4.08       6.72       0.71
  300 UNKNOWN                  31       4.06       3.68       4.68       0.30
  301 UNKNOWN                  31      14.52      13.19      17.68       0.78
  302 UNKNOWN                  31     150.55     147.43     153.79       1.80
  303 UNKNOWN                  31      60.22      59.63      60.83       0.31
  304 UNKNOWN                  31      23.26      22.59      25.60       0.51
  305 UNKNOWN                  31      14.30      13.48      17.04       1.05
  306 UNKNOWN                  31       3.72       3.50       5.32       0.32
  307 UNKNOWN                  31      21.83      21.10      23.70       0.43
  308 UNKNOWN                  31      44.70      41.10      47.08       1.73
  309 UNKNOWN                  31       5.63       3.52       7.04       0.97
  310 UNKNOWN                  31      21.59      20.36      23.76       0.99
  311 UNKNOWN                  31       4.80       4.35       8.55       0.79
  312 UNKNOWN                  31       4.07       3.42       4.83       0.51
  313 UNKNOWN                  31      14.28      13.27      15.00       0.55
  314 UNKNOWN                  31     149.74     146.26     152.86       1.87
  315 UNKNOWN                  31      60.35      59.66      60.78       0.27
  316 UNKNOWN                  31      23.23      22.49      23.96       0.31
  317 UNKNOWN                  31      13.95      13.44      15.88       0.51
  318 UNKNOWN                  31       3.71       3.62       3.82       0.06
  319 UNKNOWN                  31      21.52      20.69      22.69       0.50
  320 UNKNOWN                  31      41.32      39.15      44.11       1.07
  321 UNKNOWN                  31       5.31       3.67       6.24       0.98
  322 UNKNOWN                  31      22.02      20.52      23.56       0.95
  323 UNKNOWN                  31       4.52       4.16       5.16       0.19
  324 UNKNOWN                  31       5.18       3.80       6.16       1.02
  325 UNKNOWN                  31      22.05       0.04     110.86      42.18
  326 UNKNOWN                  31      87.18       0.02     110.60      42.42
  327 UNKNOWN                  31       6.54       6.21       7.32       0.29
  328 UNKNOWN                  31       5.15       4.93       5.35       0.11

================================================================================
PER-TYPE SUMMARY (sum of avg durations across all events)
================================================================================
TaskType             Events    Total(us)  Total(ms)        %
----------------------------------------------------------
UNKNOWN                 328      10239.6     10.240   100.0%
TOTAL                            10239.6     10.240

Saved raw event timing to event_timing.json
