[EVENT_TIMING] 9472 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  181 UNKNOWN                  31       5.17       4.11       6.11       0.44
  182 UNKNOWN                  31      14.06      13.37      15.17       0.47
  183 UNKNOWN                  31      10.37       9.97      10.73       0.19
  184 UNKNOWN                  31      12.14      11.42      12.78       0.34
  185 UNKNOWN                  31      17.27      16.83      17.76       0.22
  186 UNKNOWN                  31      12.71      12.17      14.35       0.41
  187 UNKNOWN                  31      19.69      17.97      20.52       0.92
  188 UNKNOWN                  31      41.29      38.79      46.39       1.96
  189 UNKNOWN                  31      23.35      21.68      25.96       1.13
  190 UNKNOWN                  31       5.09       4.21       6.40       0.39
  191 UNKNOWN                  31      13.97      13.35      14.72       0.36
  192 UNKNOWN                  31      10.34       9.91      10.75       0.20
  193 UNKNOWN                  31      11.98      11.37      12.48       0.33
  194 UNKNOWN                  31      17.34      16.84      18.00       0.27
  195 UNKNOWN                  31      13.09      12.39      15.15       0.56
  196 UNKNOWN                  31      20.23      18.84      21.37       0.76
  197 UNKNOWN                  31      41.36      38.92      44.88       1.31
  198 UNKNOWN                  31      24.17      21.44      27.20       1.52
  199 UNKNOWN                  31       5.04       4.35       6.72       0.44
  200 UNKNOWN                  31      14.21      13.48      14.96       0.39
  201 UNKNOWN                  31      10.39       9.76      10.91       0.25
  202 UNKNOWN                  31      11.85      11.25      12.49       0.29
  203 UNKNOWN                  31      17.28      16.73      18.40       0.38
  204 UNKNOWN                  31      13.08      12.56      14.44       0.41
  205 UNKNOWN                  31      18.37      17.75      20.27       0.44
  206 UNKNOWN                  31      42.26      40.20      43.77       1.07
  207 UNKNOWN                  31      23.47      21.76      26.04       1.14
  208 UNKNOWN                  31       4.90       4.35       5.92       0.41
  209 UNKNOWN                  31      14.57      13.93      15.17       0.36
  210 UNKNOWN                  31      10.40      10.07      10.68       0.19
  211 UNKNOWN                  31      11.97      11.57      12.33       0.19
  212 UNKNOWN                  31      17.35      16.88      18.75       0.42
  213 UNKNOWN                  31      13.07      12.44      14.27       0.50
  214 UNKNOWN                  31      19.84      18.40      21.45       1.06
  215 UNKNOWN                  31      41.69      38.88      44.13       1.30
  216 UNKNOWN                  31      23.19      21.87      26.24       1.11
  217 UNKNOWN                  31       4.92       4.39       5.71       0.41
  218 UNKNOWN                  31      14.38      13.92      14.76       0.23
  219 UNKNOWN                  31      10.43      10.05      10.74       0.16
  220 UNKNOWN                  31      11.87      11.26      12.54       0.32
  221 UNKNOWN                  31      17.47      16.65      19.56       0.61
  222 UNKNOWN                  31      13.02      12.28      15.19       0.63
  223 UNKNOWN                  31      18.30      17.57      19.12       0.37
