[EVENT_TIMING] 10496 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  224 UNKNOWN                  31      44.07      40.04      50.00       3.03
  225 UNKNOWN                  31       4.91       4.06       6.46       0.85
  226 UNKNOWN                  31      23.10      20.80      24.52       0.96
  227 UNKNOWN                  31       4.93       4.31       7.61       0.73
  228 UNKNOWN                  31       4.70       3.74       5.31       0.44
  229 UNKNOWN                  31      14.11      13.16      15.00       0.57
  230 UNKNOWN                  31     215.24     210.87     218.07       1.80
  231 UNKNOWN                  31      64.47      63.60      65.11       0.38
  232 UNKNOWN                  31      25.69      25.03      27.17       0.50
  233 UNKNOWN                  31      13.88      13.44      15.92       0.44
  234 UNKNOWN                  31       3.97       3.67       6.40       0.50
  235 UNKNOWN                  31      24.93      24.13      26.57       0.49
  236 UNKNOWN                  31      42.73      40.05      47.05       1.35
  237 UNKNOWN                  31       5.35       3.95       9.33       1.35
  238 UNKNOWN                  31      22.78      20.23      24.92       1.10
  239 UNKNOWN                  31       4.15       3.59       7.12       0.81
  240 UNKNOWN                  31       4.01       3.65       4.50       0.22
  241 UNKNOWN                  31      14.84      13.58      18.52       1.21
  242 UNKNOWN                  31     211.65     208.47     217.51       1.88
  243 UNKNOWN                  31      64.27      63.23      64.90       0.43
  244 UNKNOWN                  31      25.88      24.67      29.88       1.08
  245 UNKNOWN                  31      15.66      13.60      17.72       1.38
  246 UNKNOWN                  31       3.97       3.71       4.15       0.10
  247 UNKNOWN                  31      25.14      24.02      26.82       0.74
  248 UNKNOWN                  31      41.85      39.80      45.47       1.39
  249 UNKNOWN                  31       5.37       3.87       8.69       1.51
  250 UNKNOWN                  31      22.75      20.91      24.98       1.27
  251 UNKNOWN                  31       5.13       4.26       7.76       0.72
  252 UNKNOWN                  31       4.37       3.74       5.38       0.51
  253 UNKNOWN                  31      14.30      13.11      15.14       0.50
  254 UNKNOWN                  31     209.98     206.55     213.49       1.77
  255 UNKNOWN                  31      64.38      63.45      64.99       0.33
  256 UNKNOWN                  31      25.71      24.69      26.88       0.53
  257 UNKNOWN                  31      14.05      13.56      15.67       0.50
  258 UNKNOWN                  31       3.75       3.58       3.96       0.10
  259 UNKNOWN                  31      25.17      23.61      26.85       1.12
  260 UNKNOWN                  31      42.16      39.91      45.29       1.25
  261 UNKNOWN                  31       5.38       3.93       7.38       1.04
  262 UNKNOWN                  31      22.39      20.59      24.16       1.19
  263 UNKNOWN                  31       4.77       4.17       6.87       0.56
  264 UNKNOWN                  31       4.33       3.55       4.89       0.48
  265 UNKNOWN                  31      14.25      13.40      15.28       0.50
  266 UNKNOWN                  31     212.40     208.95     215.95       1.75
  267 UNKNOWN                  31      64.36      63.71      64.97       0.29
  268 UNKNOWN                  31      25.79      25.16      26.32       0.31
  269 UNKNOWN                  31      14.82      13.32      18.04       1.36
  270 UNKNOWN                  31       4.13       3.94       7.26       0.57
  271 UNKNOWN                  31      25.42      23.66      26.78       1.01
  272 UNKNOWN                  31      41.71      39.84      43.75       0.97
  273 UNKNOWN                  31       5.75       4.10       9.40       1.32
  274 UNKNOWN                  31      22.16      20.60      23.94       1.01
  275 UNKNOWN                  31       4.90       4.23       6.80       0.62
  276 UNKNOWN                  31       4.80       3.88       5.35       0.35
  277 UNKNOWN                  31      14.22      13.22      18.28       0.86
  278 UNKNOWN                  31     215.32     211.91     218.56       1.75
  279 UNKNOWN                  31      64.44      63.24      65.25       0.46
  280 UNKNOWN                  31      26.79      25.03      30.32       1.79
  281 UNKNOWN                  31      14.96      13.52      17.56       1.43
  282 UNKNOWN                  31       3.86       3.54       7.06       0.59
  283 UNKNOWN                  31      25.56      23.09      27.29       1.20
  284 UNKNOWN                  31      41.84      39.92      44.38       1.16
  285 UNKNOWN                  31       5.21       3.83       6.44       1.02
  286 UNKNOWN                  31      22.59      21.01      25.50       1.11
  287 UNKNOWN                  31       4.53       3.62       7.41       1.14
  288 UNKNOWN                  31       4.62       4.49       4.87       0.10
  289 UNKNOWN                  31      13.95      13.18      14.37       0.31
  290 UNKNOWN                  31     211.59     208.39     215.07       1.89
  291 UNKNOWN                  31      64.43      63.36      65.01       0.35
  292 UNKNOWN                  31      25.91      24.86      28.01       0.89
  293 UNKNOWN                  31      14.13      13.56      15.71       0.61
  294 UNKNOWN                  31       4.04       3.83       5.16       0.23
  295 UNKNOWN                  31      25.75      23.70      27.58       1.04
  296 UNKNOWN                  31      41.06      39.52      43.48       1.13
  297 UNKNOWN                  31       5.33       3.73       8.15       1.35
  298 UNKNOWN                  31      22.57      20.82      25.96       1.14
  299 UNKNOWN                  31       5.22       4.32       7.33       0.80
  300 UNKNOWN                  31       4.28       3.62       5.01       0.47
  301 UNKNOWN                  31      14.36      13.07      18.92       0.96
  302 UNKNOWN                  31     210.56     206.67     214.23       1.99
  303 UNKNOWN                  31      64.60      64.00      65.35       0.38
  304 UNKNOWN                  31      26.18      24.70      29.12       1.05
  305 UNKNOWN                  31      14.25      13.52      17.96       0.88
  306 UNKNOWN                  31       3.76       3.58       3.96       0.09
  307 UNKNOWN                  31      25.30      23.93      27.69       1.00
  308 UNKNOWN                  31      46.33      42.02      50.29       2.18
  309 UNKNOWN                  31       5.37       3.70       6.43       1.04
  310 UNKNOWN                  31      22.52      20.40      24.28       1.12
  311 UNKNOWN                  31       4.75       4.20       5.91       0.31
  312 UNKNOWN                  31       4.56       3.61       5.08       0.40
  313 UNKNOWN                  31      14.05      13.26      15.20       0.47
  314 UNKNOWN                  31     211.72     208.07     215.20       1.91
  315 UNKNOWN                  31      64.51      61.40      65.60       0.67
  316 UNKNOWN                  31      26.00      24.99      28.00       0.78
  317 UNKNOWN                  31      14.24      13.52      16.20       0.82
  318 UNKNOWN                  31       3.88       3.78       4.06       0.07
  319 UNKNOWN                  31      25.25      23.74      26.58       1.00
  320 UNKNOWN                  31      42.08      40.16      44.76       1.21
  321 UNKNOWN                  31       5.03       3.96       6.58       0.90
  322 UNKNOWN                  31      22.85      20.97      24.44       1.03
  323 UNKNOWN                  31       4.71       4.35       5.30       0.20
  324 UNKNOWN                  31       5.63       3.76       6.20       0.81
  325 UNKNOWN                  31      20.79       0.22     118.46      41.60
  326 UNKNOWN                  31      95.90       0.11     117.16      41.80
  327 UNKNOWN                  31       6.66       5.99       7.64       0.49
  328 UNKNOWN                  31       5.59       5.35       5.81       0.14

================================================================================
PER-TYPE SUMMARY (sum of avg durations across all events)
================================================================================
TaskType             Events    Total(us)  Total(ms)        %
----------------------------------------------------------
UNKNOWN                 328      12276.1     12.276   100.0%
TOTAL                            12276.1     12.276

Saved raw event timing to event_timing.json
