[EVENT_TIMING] 8880 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  240 UNKNOWN                  29       7.90       7.43       8.35       0.27
  241 UNKNOWN                  29      15.45      14.83      16.56       0.41
  242 UNKNOWN                  29      42.49      40.38      46.24       1.36
  243 UNKNOWN                  29      22.93      21.84      24.68       0.95
  244 UNKNOWN                  29       5.05       4.27       6.93       0.81
  245 UNKNOWN                  26       0.26       0.01       1.08       0.24
  246 UNKNOWN                  25       0.27       0.04       0.92       0.26
  247 UNKNOWN                  29       5.32       0.01      73.59      18.54
  248 UNKNOWN                  26       2.97       0.01      73.16      14.04
  249 UNKNOWN                  23       3.43       0.02      74.36      15.12
  250 UNKNOWN                  26       0.22       0.01       0.68       0.17
  251 UNKNOWN                  28       0.31       0.03       1.42       0.30
  252 UNKNOWN                  26       0.22       0.01       0.70       0.20
  253 UNKNOWN                  22       0.21       0.02       0.58       0.15
  254 UNKNOWN                  26       0.28       0.02       0.89       0.25
  255 UNKNOWN                  20       0.26       0.01       1.26       0.31
  256 UNKNOWN                  25       6.11       0.02      74.63      19.89
  257 UNKNOWN                  26       0.23       0.02       1.01       0.24
  258 UNKNOWN                  26       0.24       0.02       1.00       0.23
  259 UNKNOWN                  24       3.44       0.01      75.32      14.99
  260 UNKNOWN                  27       8.44       0.02      74.20      23.19
  261 UNKNOWN                  26       5.90       0.01      73.48      19.44
  262 UNKNOWN                  24       0.23       0.01       1.20       0.25
  263 UNKNOWN                  23       3.44       0.01      74.69      15.19
  264 UNKNOWN                  25       0.20       0.04       0.60       0.14
  265 UNKNOWN                  25       0.26       0.02       1.11       0.29
  266 UNKNOWN                  26       0.23       0.03       0.84       0.20
  267 UNKNOWN                  20       7.46       0.03      72.91      21.70
  268 UNKNOWN                  25      11.87       0.03      74.95      26.85
  269 UNKNOWN                  25       0.28       0.01       2.09       0.42
  270 UNKNOWN                  20       0.24       0.01       0.93       0.22
  271 UNKNOWN                  24       3.33       0.04      74.45      14.83
  272 UNKNOWN                  25       6.15       0.02      74.39      19.95
  273 UNKNOWN                  25       0.28       0.01       1.28       0.28
  274 UNKNOWN                  20       0.29       0.01       0.98       0.27
  275 UNKNOWN                  24       3.16       0.01      71.33      14.22
  276 UNKNOWN                  25       0.22       0.02       0.87       0.20
  277 UNKNOWN                  26       3.11       0.02      75.98      14.57
  278 UNKNOWN                  24       3.25       0.01      73.38      14.62
  279 UNKNOWN                  25       9.02       0.02      73.80      23.71
  280 UNKNOWN                  26       3.10       0.01      73.07      14.00
  281 UNKNOWN                  23       0.25       0.02       0.96       0.24
  282 UNKNOWN                  26       0.39       0.02       1.57       0.36
  283 UNKNOWN                  29       7.41       0.01      33.15      12.48
  284 UNKNOWN                  27      10.65       0.03      30.14      13.31
  285 UNKNOWN                  27       0.35       0.01       1.75       0.36
  286 UNKNOWN                  26       1.60       0.04      29.32       5.56
  287 UNKNOWN                  27       5.76       0.03      30.43      10.88
  288 UNKNOWN                  28       6.42       0.03      29.33      11.30
  289 UNKNOWN                  25       0.35       0.01       0.85       0.24
  290 UNKNOWN                  25       0.57       0.01       2.18       0.56
  291 UNKNOWN                  26       0.38       0.04       1.20       0.32
  292 UNKNOWN                  29       0.52       0.02       1.77       0.53
  293 UNKNOWN                  28       0.58       0.04       1.84       0.51
  294 UNKNOWN                  28       0.63       0.01       2.09       0.54
  295 UNKNOWN                  29       5.38       4.98       5.83       0.19
  296 UNKNOWN                  29       5.25       5.04       5.47       0.11

================================================================================
PER-TYPE SUMMARY (sum of avg durations across all events)
================================================================================
TaskType             Events    Total(us)  Total(ms)        %
----------------------------------------------------------
UNKNOWN                 296       4329.3      4.329   100.0%
TOTAL                             4329.3      4.329

Saved raw event timing to event_timing.json
