[EVENT_TIMING] 10368 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  197 UNKNOWN                  31      13.00      12.40      14.30       0.38
  198 UNKNOWN                  31      28.46      26.50      29.22       0.64
  199 UNKNOWN                  31      40.65      38.07      44.56       1.90
  200 UNKNOWN                  31      23.11      21.72      26.20       1.15
  201 UNKNOWN                  31       4.74       4.23       6.58       0.57
  202 UNKNOWN                  31       3.99       3.44       4.27       0.22
  203 UNKNOWN                  31      12.79      12.20      13.39       0.30
  204 UNKNOWN                  31      10.82      10.50      11.18       0.19
  205 UNKNOWN                  31      11.67      11.30      12.14       0.22
  206 UNKNOWN                  31      23.43      22.46      25.87       0.84
  207 UNKNOWN                  31      12.58      11.66      15.56       0.90
  208 UNKNOWN                  31      27.97      27.58      29.00       0.27
  209 UNKNOWN                  31      40.22      37.79      42.80       1.43
  210 UNKNOWN                  31      23.25      21.68      25.55       1.14
  211 UNKNOWN                  31       4.66       4.11       5.36       0.28
  212 UNKNOWN                  31       4.24       3.98       4.81       0.15
  213 UNKNOWN                  31      12.58      12.07      12.98       0.20
  214 UNKNOWN                  31      10.45      10.12      10.96       0.21
  215 UNKNOWN                  31      11.65      11.25      12.36       0.25
  216 UNKNOWN                  31      23.32      22.38      25.62       0.87
  217 UNKNOWN                  31      13.06      12.28      15.48       0.70
  218 UNKNOWN                  31      27.41      25.55      28.82       0.63
  219 UNKNOWN                  31      40.33      37.82      43.34       1.40
  220 UNKNOWN                  31      22.71      21.63      26.76       1.18
  221 UNKNOWN                  31       4.41       4.04       4.73       0.17
  222 UNKNOWN                  31       4.11       3.67       4.55       0.19
  223 UNKNOWN                  31      12.71      12.13      13.72       0.34
  224 UNKNOWN                  31       9.88       9.59      10.20       0.16
  225 UNKNOWN                  31      11.87      11.21      12.43       0.27
  226 UNKNOWN                  31      23.54      22.27      25.47       0.88
  227 UNKNOWN                  31      13.19      12.20      16.00       0.89
  228 UNKNOWN                  31      28.21      25.81      28.87       0.49
  229 UNKNOWN                  31      42.53      39.20      46.11       1.73
  230 UNKNOWN                  31      22.92      21.28      24.78       0.95
  231 UNKNOWN                  31       4.66       4.14       7.38       0.63
  232 UNKNOWN                  31       4.25       3.62       4.70       0.27
  233 UNKNOWN                  31      12.89      12.25      13.60       0.32
  234 UNKNOWN                  31      10.13       9.82      10.42       0.16
  235 UNKNOWN                  31      11.69      11.27      12.30       0.23
  236 UNKNOWN                  31      23.76      22.37      25.89       0.98
  237 UNKNOWN                  31      13.23      12.50      15.75       0.83
  238 UNKNOWN                  31      28.52      26.34      28.98       0.48
  239 UNKNOWN                  31      40.44      38.06      43.86       1.38
  240 UNKNOWN                  31      22.85      21.55      24.72       0.98
  241 UNKNOWN                  31       4.55       4.25       5.76       0.30
  242 UNKNOWN                  31       4.00       3.52       4.32       0.21
  243 UNKNOWN                  31      12.67      12.24      13.16       0.24
  244 UNKNOWN                  31      10.15       9.85      10.56       0.16
  245 UNKNOWN                  31      11.70      11.39      12.08       0.19
  246 UNKNOWN                  31      24.28      22.64      25.99       1.11
  247 UNKNOWN                  31      13.09      12.44      15.26       0.61
  248 UNKNOWN                  31      28.49      28.18      29.22       0.19
  249 UNKNOWN                  31      39.96      38.00      41.08       0.97
  250 UNKNOWN                  31      23.11      21.85      25.76       1.06
  251 UNKNOWN                  31       4.54       4.00       5.87       0.43
  252 UNKNOWN                  31       4.21       4.02       4.44       0.11
  253 UNKNOWN                  31      12.41      11.83      12.79       0.22
  254 UNKNOWN                  31      10.55      10.28      11.08       0.16
  255 UNKNOWN                  31      11.54      11.24      11.92       0.19
  256 UNKNOWN                  31      23.77      22.53      26.14       1.08
  257 UNKNOWN                  31      12.96      12.22      15.36       0.61
  258 UNKNOWN                  31      26.99      25.55      28.26       0.98
  259 UNKNOWN                  31      40.70      37.68      44.30       1.88
  260 UNKNOWN                  31      23.24      21.12      25.36       1.15
  261 UNKNOWN                  31       4.50       4.06       6.40       0.39
  262 UNKNOWN                  31       3.81       3.56       4.58       0.20
  263 UNKNOWN                  31      13.33      12.57      13.74       0.24
  264 UNKNOWN                  31      10.24       9.89      10.57       0.15
  265 UNKNOWN                  31      11.88      11.47      12.41       0.25
  266 UNKNOWN                  31      22.98      22.36      23.76       0.33
  267 UNKNOWN                  31      13.00      12.34      14.18       0.41
