[EVENT_TIMING] 8880 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  150 UNKNOWN                  29       7.93       7.37       8.34       0.28
  151 UNKNOWN                  29      16.56      15.20      18.03       1.05
  152 UNKNOWN                  29      41.75      38.25      43.99       1.45
  153 UNKNOWN                  29      23.39      21.72      26.40       1.14
  154 UNKNOWN                  29       4.74       4.03       5.94       0.42
  155 UNKNOWN                  29      13.93      13.29      14.45       0.28
  156 UNKNOWN                  29       9.50       9.14      10.50       0.29
  157 UNKNOWN                  29      12.37      11.60      13.21       0.45
  158 UNKNOWN                  29      14.97      14.65      15.32       0.18
  159 UNKNOWN                  29       7.00       6.72       7.32       0.16
  160 UNKNOWN                  29      15.88      15.04      17.47       0.56
  161 UNKNOWN                  29      43.07      39.83      47.12       1.93
  162 UNKNOWN                  29      23.04      21.83      25.72       1.06
  163 UNKNOWN                  29       5.13       4.33       6.08       0.51
  164 UNKNOWN                  29      14.03      13.56      14.44       0.24
  165 UNKNOWN                  29       9.75       9.47      10.19       0.14
  166 UNKNOWN                  29      12.52      11.31      13.27       0.48
  167 UNKNOWN                  29      15.01      14.24      15.63       0.26
  168 UNKNOWN                  29       7.95       7.36       8.35       0.26
  169 UNKNOWN                  29      15.60      14.70      17.25       0.60
  170 UNKNOWN                  29      42.68      40.40      45.82       1.30
  171 UNKNOWN                  29      23.01      21.54      24.89       0.97
  172 UNKNOWN                  29       5.32       4.31       6.80       0.65
  173 UNKNOWN                  29      13.93      13.48      14.52       0.25
  174 UNKNOWN                  29       9.91       9.48      10.53       0.25
  175 UNKNOWN                  29      12.35      11.30      13.31       0.56
  176 UNKNOWN                  29      14.98      14.51      15.41       0.25
  177 UNKNOWN                  29       7.86       7.05       8.25       0.30
  178 UNKNOWN                  29      15.97      14.35      17.43       0.95
  179 UNKNOWN                  29      41.88      38.72      45.88       1.66
  180 UNKNOWN                  29      23.07      21.69      24.94       0.95
  181 UNKNOWN                  29       5.07       4.30       7.84       0.87
  182 UNKNOWN                  29      14.07      13.43      14.68       0.28
  183 UNKNOWN                  29       9.98       9.60      10.53       0.23
  184 UNKNOWN                  29      12.53      11.56      13.24       0.39
  185 UNKNOWN                  29      14.96      14.28      15.49       0.29
  186 UNKNOWN                  29       7.82       7.35       8.42       0.29
  187 UNKNOWN                  29      16.17      15.04      17.64       0.84
  188 UNKNOWN                  29      41.93      38.92      43.88       1.41
  189 UNKNOWN                  29      22.93      21.78      24.59       0.92
  190 UNKNOWN                  29       4.93       4.11       6.01       0.53
  191 UNKNOWN                  29      13.77      13.28      14.33       0.27
  192 UNKNOWN                  29       9.63       9.34      10.03       0.18
  193 UNKNOWN                  29      12.46      11.81      13.17       0.36
  194 UNKNOWN                  29      14.98      14.61      15.39       0.17
  195 UNKNOWN                  29       7.99       7.40       8.45       0.26
  196 UNKNOWN                  29      15.92      15.13      17.24       0.57
  197 UNKNOWN                  29      42.14      39.52      43.81       1.17
  198 UNKNOWN                  29      23.07      21.79      24.64       0.90
  199 UNKNOWN                  29       4.80       4.03       5.98       0.36
  200 UNKNOWN                  29      14.18      13.73      14.65       0.22
  201 UNKNOWN                  29       9.55       9.27       9.79       0.12
  202 UNKNOWN                  29      12.40      11.46      13.29       0.48
  203 UNKNOWN                  29      15.12      14.65      15.61       0.26
  204 UNKNOWN                  29       7.81       7.42       8.50       0.28
  205 UNKNOWN                  29      15.16      14.58      16.46       0.44
  206 UNKNOWN                  29      44.68      42.26      48.82       1.68
  207 UNKNOWN                  29      22.74      21.36      24.29       0.91
  208 UNKNOWN                  29       4.97       4.29       6.68       0.57
  209 UNKNOWN                  29      14.02      13.52      14.48       0.21
  210 UNKNOWN                  29       9.87       9.60      10.17       0.15
  211 UNKNOWN                  29      12.43      11.28      13.48       0.55
  212 UNKNOWN                  29      14.94      14.50      15.32       0.23
  213 UNKNOWN                  29       7.76       7.03       8.34       0.28
  214 UNKNOWN                  29      15.84      14.87      17.76       0.82
  215 UNKNOWN                  29      42.27      38.96      46.81       1.68
  216 UNKNOWN                  29      23.10      21.64      24.71       0.95
